"well","plate","strain","plasmid","row","column","stress","temperature","doxycycline","well_id","v_max","auc","final_abs"
"D5",2,"Tet-O7-ERG6","pRS315-CaurERG6","D",5,"None",30,"10 µg/mL","D5_2",0.028,39.8747382486979,1.281
"D6",2,"Tet-O7-ERG6","pRS315-CaurERG6","D",6,"None",30,"10 µg/mL","D6_2",0.025,36.3489066731771,1.167
"D7",2,"▲erg3","pRS315-CaurERG3","D",7,"None",30,"None","D7_2",0.028,38.5258396158854,1.21
"D8",2,"▲erg3","pRS315-CaurERG3","D",8,"None",30,"None","D8_2",0.029,38.0888284505208,1.24
"D9",2,"▲erg3","pRS315-CaurERG3","D",9,"None",30,"None","D9_2",0.027,36.5226114257812,1.177
"D10",2,"▲erg6","pRS315-CaurERG6","D",10,"None",30,"None","D10_2",0.0289999999999999,38.5860739257812,1.238
"D11",2,"▲erg6","pRS315-CaurERG6","D",11,"None",30,"None","D11_2",0.027,38.5695782226562,1.238
"D12",2,"▲erg6","pRS315-CaurERG6","D",12,"None",30,"None","D12_2",0.027,37.1203307291667,1.171
"E1",2,"Tet-O7-ERG3","pRS315-NglaERG3","E",1,"None",30,"10 µg/mL","E1_2",0.0269999999999999,35.4226479492187,1.157
"E2",2,"Tet-O7-ERG3","pRS315-NglaERG3","E",2,"None",30,"10 µg/mL","E2_2",0.026,36.6874434895833,1.189
"E3",2,"Tet-O7-ERG3","pRS315-NglaERG3","E",3,"None",30,"10 µg/mL","E3_2",0.027,35.5263709309896,1.181
"E4",2,"Tet-O7-ERG6","pRS315-NglaERG6","E",4,"None",30,"10 µg/mL","E4_2",0.026,34.7614451822917,1.155
"E5",2,"Tet-O7-ERG6","pRS315-NglaERG6","E",5,"None",30,"10 µg/mL","E5_2",0.028,38.9521035807292,1.267
"E6",2,"Tet-O7-ERG6","pRS315-NglaERG6","E",6,"None",30,"10 µg/mL","E6_2",0.026,37.695680859375,1.181
"E7",2,"▲erg3","pRS315-NglaERG3","E",7,"None",30,"None","E7_2",0.027,36.4856210611979,1.179
"E8",2,"▲erg3","pRS315-NglaERG3","E",8,"None",30,"None","E8_2",0.025,34.1987167643229,1.118
"E9",2,"▲erg3","pRS315-NglaERG3","E",9,"None",30,"None","E9_2",0.029,37.5580916992187,1.232
"E10",2,"▲erg6","pRS315-NglaERG6","E",10,"None",30,"None","E10_2",0.029,39.3295052734375,1.233
"E11",2,"▲erg6","pRS315-NglaERG6","E",11,"None",30,"None","E11_2",0.0279999999999999,37.7202994466146,1.219
"E12",2,"▲erg6","pRS315-NglaERG6","E",12,"None",30,"None","E12_2",0.028,37.5202265625,1.212
"F1",2,"Tet-O7-ERG3","pRS315-CparERG3","F",1,"None",30,"10 µg/mL","F1_2",0.026,35.6585864908854,1.147
"F2",2,"Tet-O7-ERG3","pRS315-CparERG3","F",2,"None",30,"10 µg/mL","F2_2",0.027,36.5101146809896,1.18
"F3",2,"Tet-O7-ERG3","pRS315-CparERG3","F",3,"None",30,"10 µg/mL","F3_2",0.029,39.0078390625,1.28
